NAME,POS,TEAM,GP,FGM,FGA
Norris Cole,PG,MIA,80,2.2,5.3
Jimmer Fredette,PG,SAC,69,2.5,5.9
Shannon Brown,PG,PHX,59,4.1,9.7
Alec Burks,PG,UTAH,64,2.5,6.1
Shane Battier,SF,MIA,72,2.1,5.0
Paul George,SF,IND,79,6.2,14.9
Evan Turner,SF,PHI,82,5.4,12.8
Jerryd Bayless,PG,MEM,80,3.3,7.8
C.J. Watson,PG,BKN,80,2.4,5.7
Travis Outlaw,SF,SAC,38,1.9,4.7
Patrick Beverley,PG,HOU,41,1.9,4.6
Danilo Gallinari,SF,DEN,71,5.1,12.3
Jordan Hamilton,SF,DEN,40,2.1,5.0
J.J. Barea,PG,MIN,74,4.3,10.2
Trevor Ariza,SF,WSH,56,3.4,8.1
Brian Roberts,PG,NO,78,2.7,6.6
Rudy Gay,SF,TOR/MEM,75,6.9,16.7
Monta Ellis,PG,MIL,82,7.3,17.5
C.J. Miles,SG,CLE,65,3.9,9.4
Jordan Crawford,SG,BOS/WSH,70,4.3,10.4
Steve Novak,SF,NY,81,2.2,5.3
Rashard Lewis,PF,MIA,55,1.9,4.5
Chase Budinger,SF,MIN,23,3.4,8.3
James Johnson,PF,SAC,54,2.2,5.2
Nick Young,SG,PHI,59,3.8,9.2
James Anderson,SG,HOU/SA,39,1.3,3.2
Dion Waiters,SG,CLE,61,5.5,13.4
Gary Neal,PG,SA,68,3.6,8.8
Bradley Beal,SG,WSH,56,5.0,12.3
Alonzo Gee,SF,CLE,82,3.7,9.1
Xavier Henry,SG,NO,50,1.3,3.2
Joel Freeland,PF,POR,51,1.1,2.8
Ramon Sessions,PG,CHA,61,4.5,11.1
Ben Gordon,SG,CHA,75,4.1,10.1
Darius Miller,SF,NO,52,0.8,2.1
Markieff Morris,PF,PHX,82,3.2,8.0
Terrence Ross,SG,TOR,73,2.5,6.3
Garrett Temple,SG,WSH,51,2.1,5.1
Brandon Knight,PG,DET,75,4.8,11.7
Wesley Johnson,SF,PHX,50,3.2,7.9
Rodney Stuckey,PG,DET,76,4.0,9.8
Hakim Warrick,PF,NO/ORL/CHA,28,2.4,5.9
Charles Jenkins,PG,GS/PHI,59,0.8,2.1
Carlos Delfino,SG,HOU,67,3.7,9.3
Michael Beasley,SF,PHX,75,4.1,10.2
Toney Douglas,PG,HOU/SAC,71,2.6,6.6
Metta World Peace,SF,LAL,75,4.4,11.0
Josh Howard,SF,MIN,11,2.8,7.0
Eric Gordon,SG,NO,42,5.6,13.9
Kevin Jones,PF,CLE,32,1.3,3.3
Jason Richardson,SG,PHI,33,4.1,10.2
Avery Bradley,PG,BOS,50,3.8,9.6
Chauncey Billups,PG,LAC,22,2.4,6.0
Kyle Lowry,PG,TOR,68,3.7,9.2
Luc Richard Mbah a Moute,PF,MIL,58,2.6,6.5
Orlando Johnson,SG,IND,51,1.4,3.5
Andrea Bargnani,PF,TOR,35,4.9,12.2
Lamar Odom,PF,LAC,82,1.8,4.5
John Salmons,SF,SAC,76,3.2,8.1
Brandon Jennings,PG,MIL,80,6.2,15.6
